看似	看似	AUX	cop	簡單	簡單	ADJ	1
並	並	ADV	mark	繼續	繼續	VERB	1
繼續	繼續	VERB	dep	通車	通車	VERB	1
鐵道	鐵道	NOUN	nmod	工程	工程	NOUN	1
餘下	餘下	VERB	acl:relcl	工程	工程	NOUN	1
工程	工程	NOUN	obj	繼續	繼續	VERB	1
,	,	PUNCT	punct	通車	通車	VERB	3
至	至	ADP	case	日	日	NOUN	2
日	日	NOUN	obl	通車	通車	VERB	2
京	京	PROPN	case:suff	線	線	PART	1
義	義	PROPN	conj	京	京	PROPN	1
線	線	PART	nsubj	通車	通車	VERB	1
全線	全線	NOUN	advmod	通車	通車	VERB	1
通車	通車	VERB	root	ROOT	ROOT	ROOT	4
.	.	PUNCT	punct	通車	通車	VERB	4
年	年	NOUN	nmod:tmod	開放	開放	VERB	1
昭和	昭和	PROPN	nmod	年	年	NOUN	2
京都	京都	PROPN	nmod	御苑	御苑	NOUN	1
御苑	御苑	NOUN	nsubj	開放	開放	VERB	1
成	成	VERB	acl	開放	開放	VERB	1
國民	國民	NOUN	nmod	公園	公園	NOUN	1
公園	公園	NOUN	obj	成	成	VERB	1
對	對	ADP	case	公眾	公眾	NOUN	1
公眾	公眾	NOUN	obl	開放	開放	VERB	1
開放	開放	VERB	root	ROOT	ROOT	ROOT	2
.	.	PUNCT	punct	開放	開放	VERB	2
稻盛	稻盛	PROPN	nmod	和夫	和夫	PROPN	1
和夫	和夫	PROPN	nsubj	設立	設立	VERB	1
設立	設立	VERB	acl:relcl	法人	法人	NOUN	1
的	的	PART	mark:relcl	設立	設立	VERB	1
財團	財團	NOUN	nmod	法人	法人	NOUN	1
法人	法人	NOUN	appos	財團	財團	NOUN	1
稻盛	稻盛	PROPN	nmod	財團	財團	NOUN	1
財團	財團	NOUN	nsubj	負責	負責	VERB	1
頒發	頒發	VERB	xcomp	負責	負責	VERB	1
京都	京都	PROPN	case:suff	獎	獎	PART	1
獎	獎	PART	obj	頒發	頒發	VERB	1
32.09	32.09	NUM	nummod	平方公里	平方公里	NOUN	1
2046	2046	NUM	nummod	人	人	NOUN	1
13.27	13.27	NUM	nummod	平方公里	平方公里	NOUN	1
606	606	NUM	nummod	人	人	NOUN	1
科特	科特	PROPN	nmod	考夫卡	考夫卡	PROPN	1
·	·	PUNCT	punct	考夫卡	考夫卡	PROPN	1
考夫卡	考夫卡	PROPN	nsubj	家	家	PART	1
(	(	PUNCT	punct	Kurt	Kurt	X	1
Kurt	Kurt	X	appos	考夫卡	考夫卡	PROPN	1
Koffka	Koffka	X	flat:foreign	Kurt	Kurt	X	1
,	,	X	dep	Kurt	Kurt	X	1
)	)	PUNCT	punct	Kurt	Kurt	X	1
位	位	NOUN	nmod	家	家	PART	1
格式塔	格式塔	NOUN	nmod	學	學	PART	1
585	585	NUM	nummod	人	人	NOUN	1
從	從	ADP	case	時	時	NOUN	1
那	那	DET	det	時	時	NOUN	1
時	時	NOUN	obl	保持	保持	VERB	1
起	起	ADP	acl	時	時	NOUN	1
個	個	NOUN	nmod	機構	機構	NOUN	1
機構	機構	NOUN	nsubj	保持	保持	VERB	1
之間	之間	ADP	acl	機構	機構	NOUN	1
一直	一直	ADV	advmod	保持	保持	VERB	2
著	著	PART	case:aspect	保持	保持	VERB	1
合作	合作	NOUN	nmod	關係	關係	NOUN	1
表皮	表皮	NOUN	nsubj	看	看	VERB	1
上去	上去	VERB	mark	看	看	VERB	1
像	像	VERB	xcomp	看	看	VERB	1
層疊	層疊	VERB	acl:relcl	鱗	鱗	NOUN	1
的	的	PART	mark:relcl	層疊	層疊	VERB	1
鱗	鱗	NOUN	obj	像	像	VERB	1
或者	或者	CCONJ	cc	有	有	VERB	2
有	有	VERB	conj	像	像	VERB	1
凸起	凸起	VERB	obj	有	有	VERB	1
一些	一些	ADJ	amod	苦力	苦力	NOUN	1
重獲	重獲	VERB	acl:relcl	苦力	苦力	NOUN	1
自由	自由	NOUN	obj	重獲	重獲	VERB	1
的	的	PART	mark:relcl	重獲	重獲	VERB	1
苦力	苦力	NOUN	nsubj	建立	建立	VERB	1
(	(	PUNCT	punct	移民	移民	NOUN	1
以及	以及	CCONJ	cc	移民	移民	NOUN	1
之後	之後	NOUN	det	移民	移民	NOUN	1
的	的	PART	case:dec	之後	之後	NOUN	2
移民	移民	NOUN	conj	苦力	苦力	NOUN	1
)	)	PUNCT	punct	苦力	苦力	NOUN	1
許多	許多	NUM	nummod	業務	業務	NOUN	1
小型	小型	NOUN	nmod	業務	業務	NOUN	1
業務	業務	NOUN	obj	建立	建立	VERB	1
他	他們	PRON	nsubj	取液	取液	VERB	1
在	在	VERB	acl	取液	取液	VERB	1
取液	取液	VERB	root	ROOT	ROOT	ROOT	1
於	於	ADP	case	樹	樹	PART	1
橡膠	橡膠	NOUN	case:suff	樹	樹	PART	1
樹	樹	PART	obl	取液	取液	VERB	1
、	、	PUNCT	punct	淘金	淘金	VERB	1
淘金	淘金	VERB	conj	取液	取液	VERB	1
、	、	PUNCT	punct	耕種	耕種	VERB	1
耕種	耕種	VERB	conj	取液	取液	VERB	1
稻子	稻子	NOUN	obj	耕種	耕種	VERB	1
,	,	PUNCT	punct	貿易	貿易	VERB	1
以及	以及	CCONJ	cc	貿易	貿易	VERB	1
人	人	PART	obl	貿易	貿易	VERB	1
貿易	貿易	VERB	conj	取液	取液	VERB	1
.	.	PUNCT	punct	取液	取液	VERB	1
秘魯	秘魯	PROPN	nmod	人	人	PART	1
人	人	PART	nsubj	離開	離開	VERB	1
和	和	CCONJ	cc	70	70	NUM	1
70	70	NUM	conj	60	60	NUM	1
年代	年代	NOUN	obl	離開	離開	VERB	1
秘魯	秘魯	PROPN	obj	離開	離開	VERB	1
不出所料	不出所料	ADV	advmod	命	命	VERB	1
韓	韓	PROPN	nmod	非	非	PROPN	6
非	非	PROPN	nsubj:pass	囚禁	囚禁	VERB	1
自	自	ADP	case	囚禁	囚禁	VERB	1
囚禁	囚禁	VERB	ccomp	命	命	VERB	1
後	後	ADP	mark	囚禁	囚禁	VERB	1
嬴	嬴	PROPN	nmod	政	政	PROPN	6
政	政	PROPN	nsubj	命	命	VERB	1
便	便	ADV	mark	顯得	顯得	VERB	1
顯得	顯得	VERB	acl	命	命	VERB	1
相當	相當	ADV	advmod	後悔	後悔	ADJ	1
後悔	後悔	ADJ	xcomp	顯得	顯得	VERB	1
於是	於是	ADV	mark	命	命	VERB	1
命	命	VERB	dep	毒殺	毒殺	VERB	1
人	人	NOUN	nsubj	赦	赦	VERB	1
赦	赦	VERB	ccomp	命	命	VERB	1
了	了	PART	case:aspect	赦	赦	VERB	1
非	非	PROPN	det	罪名	罪名	NOUN	1
的	的	PART	case:dec	非	非	PROPN	2
罪名	罪名	NOUN	obj	赦	赦	VERB	1
但	但	ADV	mark	已晚	已晚	ADJ	1
為時	為時	NOUN	nmod:tmod	已晚	已晚	ADJ	1
已晚	已晚	ADJ	dep	毒殺	毒殺	VERB	1
非	非	PROPN	nsubj:pass	毒殺	毒殺	VERB	1
已	已	ADV	advmod	毒殺	毒殺	VERB	1
毒殺	毒殺	VERB	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	毒殺	毒殺	VERB	1
政	政	PROPN	nsubj	採取	採取	VERB	1
對於	對於	ADP	case	舊部	舊部	NOUN	1
呂	呂	PROPN	nmod	不韋	不韋	PROPN	1
不韋	不韋	PROPN	det	舊部	舊部	NOUN	1
的	的	PART	case:dec	不韋	不韋	PROPN	1
舊部	舊部	NOUN	obl	採取	採取	VERB	1
,	,	PUNCT	punct	賓客	賓客	NOUN	1
與	與	CCONJ	cc	賓客	賓客	NOUN	1
參加	參加	VERB	acl:relcl	賓客	賓客	NOUN	1
呂	呂	PROPN	nmod	葬禮	葬禮	NOUN	1
不韋	不韋	PROPN	nmod	葬禮	葬禮	NOUN	1
葬禮	葬禮	NOUN	obj	參加	參加	VERB	1
賓客	賓客	NOUN	conj	舊部	舊部	NOUN	1
下列	下列	NOUN	nmod	措施	措施	NOUN	1
:	:	PUNCT	punct	採取	採取	VERB	1
政	政	PROPN	nsubj	聽從	聽從	VERB	1
深	深	ADV	advmod	然	然	ADJ	1
以為	以為	AUX	cop	然	然	ADJ	1
然	然	ADJ	acl	聽從	聽從	VERB	1
,	,	PUNCT	punct	聽從	聽從	VERB	1
聽從	聽從	VERB	dep	任命	任命	VERB	1
了	了	PART	case:aspect	聽從	聽從	VERB	1
尉	尉	PROPN	nmod	繚	繚	PROPN	2
繚	繚	PROPN	det	計謀	計謀	NOUN	1
的	的	PART	case:dec	繚	繚	PROPN	1
計謀	計謀	NOUN	obj	聽從	聽從	VERB	1
為了	為了	ADP	case	顯示	顯示	VERB	1
顯示	顯示	VERB	xcomp	任命	任命	VERB	1
恩寵	恩寵	NOUN	obj	顯示	顯示	VERB	1
政	政	PROPN	nsubj	任命	任命	VERB	1
還	還	ADV	mark	讓	讓	VERB	1
讓	讓	VERB	acl	任命	任命	VERB	1
繚	繚	PROPN	nsubj	享受	享受	VERB	1
享受	享受	VERB	ccomp	讓	讓	VERB	1
同	同	ADP	case	自己	自己	PRON	1
自己	自己	PRON	nmod	一樣	一樣	ADJ	1
一樣	一樣	ADJ	amod	飲食	飲食	NOUN	1
的	的	PART	mark:relcl	一樣	一樣	ADJ	3
衣服	衣服	NOUN	nmod	飲食	飲食	NOUN	1
飲食	飲食	NOUN	obj	享受	享受	VERB	1
每次	每次	DET	advmod	見到	見到	VERB	1
見到	見到	VERB	acl	是	是	VERB	1
他	他	PRON	obj	見到	見到	VERB	1
是	是	VERB	acl	任命	任命	VERB	1
表現	表現	AUX	cop	謙卑	謙卑	ADJ	1
得	得	PART	mark:comp	謙卑	謙卑	ADJ	1
很	很	ADV	advmod	謙卑	謙卑	ADJ	1
謙卑	謙卑	ADJ	xcomp	是	是	VERB	1
並	並	ADV	mark	任命	任命	VERB	1
李	李	PROPN	nmod	斯	斯	PROPN	4
斯	斯	PROPN	nsubj	負責	負責	VERB	1
為	為	AUX	cop	長史	長史	NOUN	1
長史	長史	NOUN	acl	負責	負責	VERB	1
負責	負責	VERB	ccomp	任命	任命	VERB	1
暗中	暗中	ADV	advmod	派遣	派遣	VERB	1
派遣	派遣	VERB	xcomp	負責	負責	VERB	1
謀士	謀士	NOUN	nsubj	遊說	遊說	VERB	1
帶	帶	VERB	acl	遊說	遊說	VERB	1
金銀	金銀	NOUN	nmod	珍寶	珍寶	NOUN	1
珍寶	珍寶	NOUN	obj	帶	帶	VERB	1
去	去	VERB	acl	遊說	遊說	VERB	1
各國	各國	NOUN	obj	去	去	VERB	1
遊說	遊說	VERB	ccomp	派遣	派遣	VERB	1
非	非	PROPN	det	著作	著作	NOUN	1
著作	著作	NOUN	nsubj	流傳	流傳	VERB	1
流傳	流傳	VERB	dep	逼	逼	VERB	1
到	到	VERB	mark	流傳	流傳	VERB	1
秦國	秦國	PROPN	obj	流傳	流傳	VERB	1
後	後	ADP	mark	流傳	流傳	VERB	1
,	,	PUNCT	punct	逼	逼	VERB	4
政	政	PROPN	nsubj	逼	逼	VERB	1
相當	相當	ADV	advmod	欣賞	欣賞	VERB	1
欣賞	欣賞	VERB	acl	逼	逼	VERB	1
其	其	PRON	nsubj	闡述	闡述	VERB	1
所	所	ADV	mark	闡述	闡述	VERB	1
闡述	闡述	VERB	acl:relcl	思想	思想	NOUN	1
的	的	PART	mark:relcl	闡述	闡述	VERB	1
治國	治國	NOUN	nmod	思想	思想	NOUN	1
思想	思想	NOUN	obj	欣賞	欣賞	VERB	1
當	當	ADP	case	得知	得知	VERB	1
李	李	PROPN	nmod	口中	口中	NOUN	1
斯	斯	PROPN	nmod	口中	口中	NOUN	1
口中	口中	NOUN	obl	得知	得知	VERB	1
得知	得知	VERB	advcl	逼	逼	VERB	1
作者	作者	NOUN	nsubj	非	非	PROPN	1
為	為	AUX	cop	非	非	PROPN	1
非	非	PROPN	ccomp	得知	得知	VERB	1
即	即	ADV	mark	逼	逼	VERB	1
以	以	VERB	acl	逼	逼	VERB	1
戰爭	戰爭	NOUN	nsubj	作	作	VERB	1
要脅	要脅	NOUN	obj	作	作	VERB	1
逼	逼	VERB	root	ROOT	ROOT	ROOT	1
韓	韓	PROPN	case:suff	王	王	PART	1
王	王	PART	nsubj	命	命	VERB	1
命	命	VERB	ccomp	逼	逼	VERB	1
非	非	PROPN	nsubj	出使	出使	VERB	1
出使	出使	VERB	ccomp	命	命	VERB	1
秦國	秦國	PROPN	obj	出使	出使	VERB	1
.	.	PUNCT	punct	逼	逼	VERB	1
幼體	幼體	NOUN	nsubj	色	色	PART	1
則	則	ADV	mark	更深	更深	ADJ	1
顏色	顏色	NOUN	nsubj	更深	更深	ADJ	1
更深	更深	ADJ	dislocated	幼體	幼體	NOUN	1
,	,	PUNCT	punct	色	色	PART	3
一般	一般	ADV	advmod	色	色	PART	1
灰棕	灰棕	NOUN	case:suff	色	色	PART	1
或	或	CCONJ	cc	棕褐	棕褐	NOUN	1
棕褐	棕褐	NOUN	conj	灰棕	灰棕	NOUN	1
色	色	PART	root	ROOT	ROOT	ROOT	2
.	.	PUNCT	punct	色	色	PART	2
月氏	月氏	PROPN	nsubj	遷徙	遷徙	VERB	1
一分為二	一分為二	VERB	acl	遷徙	遷徙	VERB	1
西	西	NOUN	obl	遷徙	遷徙	VERB	1
遷徙	遷徙	VERB	dep	月氏	月氏	PROPN	1
,	,	PUNCT	punct	月氏	月氏	PROPN	2
最後	最後	NOUN	nmod:tmod	月氏	月氏	PROPN	1
在	在	VERB	acl	立國	立國	VERB	1
西域	西域	NOUN	obj	在	在	VERB	1
立國	立國	VERB	csubj	月氏	月氏	PROPN	1
的	的	PART	mark:relcl	立國	立國	VERB	1
為	為	AUX	cop	月氏	月氏	PROPN	2
大	大	PART	case:pref	月氏	月氏	PROPN	1
月氏	月氏	PROPN	dep	月氏	月氏	PROPN	1
遷移	遷移	VERB	csubj	月氏	月氏	PROPN	1
青海	青海	PROPN	nmod	北部	北部	NOUN	1
北部	北部	NOUN	obj	遷移	遷移	VERB	1
的	的	PART	mark:relcl	遷移	遷移	VERB	1
小	小	PART	case:pref	月氏	月氏	PROPN	1
月氏	月氏	PROPN	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	月氏	月氏	PROPN	1
始皇	始皇	NOUN	nsubj	迫	迫	VERB	1
派	派	VERB	acl	迫	迫	VERB	1
人	人	NOUN	nsubj	射殺	射殺	VERB	1
射殺	射殺	VERB	ccomp	派	派	VERB	1
之	之	PRON	obj	射殺	射殺	VERB	1
,	,	PUNCT	punct	迫	迫	VERB	2
並	並	ADV	mark	迫	迫	VERB	1
迫	迫	VERB	root	ROOT	ROOT	ROOT	2
徐	徐	PROPN	nmod	福	福	PROPN	1
福	福	PROPN	nsubj	遠航	遠航	VERB	1
率	率	VERB	acl	遠航	遠航	VERB	1
童男	童男	NOUN	nmod	童女	童女	NOUN	1
童女	童女	NOUN	obj	率	率	VERB	1
遠航	遠航	VERB	ccomp	迫	迫	VERB	1
.	.	PUNCT	punct	迫	迫	VERB	2
這樣	這樣	PRON	advmod	攻殺	攻殺	VERB	1
南征	南征	VERB	case:suff	軍	軍	PART	1
軍	軍	PART	nsubj	攻殺	攻殺	VERB	1
得	得	VERB	acl	深入	深入	VERB	1
以	以	ADV	mark	深入	深入	VERB	1
深入	深入	VERB	xcomp	攻殺	攻殺	VERB	1
西甌	西甌	PROPN	case:suff	國	國	PART	1
國	國	PART	obj	深入	深入	VERB	1
內	內	NOUN	acl	國	國	PART	1
,	,	PUNCT	punct	攻殺	攻殺	VERB	1
攻殺	攻殺	VERB	root	ROOT	ROOT	ROOT	1
其	其	PRON	nmod	君長	君長	NOUN	1
君長	君長	NOUN	appos	吁宋	吁宋	PROPN	1
吁宋	吁宋	PROPN	obj	攻殺	攻殺	VERB	1
.	.	PUNCT	punct	攻殺	攻殺	VERB	1
大量	大量	ADJ	amod	人殉	人殉	NOUN	1
人殉	人殉	NOUN	nsubj	加重	加重	VERB	1
造成	造成	VERB	acl	加重	加重	VERB	1
許多	許多	NUM	nummod	死亡	死亡	NOUN	1
生命	生命	NOUN	det	死亡	死亡	NOUN	1
的	的	PART	case:dec	生命	生命	NOUN	2
死亡	死亡	NOUN	obj	造成	造成	VERB	1
減少	減少	VERB	acl	加重	加重	VERB	1
了	了	PART	case:aspect	減少	減少	VERB	1
秦國	秦國	PROPN	det	力	力	PART	1
的	的	PART	case:dec	秦國	秦國	PROPN	2
力	力	PART	obj	減少	減少	VERB	1
同時	同時	NOUN	nmod:tmod	加重	加重	VERB	1
也	也	ADV	mark	加重	加重	VERB	1
加重	加重	VERB	root	ROOT	ROOT	ROOT	1
了	了	PART	case:aspect	加重	加重	VERB	1
民眾	民眾	NOUN	det	負擔	負擔	NOUN	1
的	的	PART	case:dec	民眾	民眾	NOUN	1
精神	精神	NOUN	nmod	負擔	負擔	NOUN	1
負擔	負擔	NOUN	obj	加重	加重	VERB	1
.	.	PUNCT	punct	加重	加重	VERB	1
沙河	沙河	PROPN	nmod	後人	後人	NOUN	1
東	東	NOUN	case:pref	村	村	PART	1
下河	下河	PROPN	case:suff	村	村	PART	1
村	村	PART	nmod	後人	後人	NOUN	1
秦	秦	PROPN	nmod	後人	後人	NOUN	1
虎翼	虎翼	PROPN	nmod	後人	後人	NOUN	1
後人	後人	NOUN	nsubj	存有	存有	VERB	1
尚	尚	ADV	advmod	存有	存有	VERB	1
存有	存有	VERB	root	ROOT	ROOT	ROOT	1
道光	道光	PROPN	nmod	日	日	NOUN	1
三十	三十	NUM	nummod	年	年	NOUN	2
正月	正月	NOUN	nmod	日	日	NOUN	1
二十六	二十六	NUM	nummod	日	日	NOUN	1
日	日	NOUN	nmod:tmod	恩贈	恩贈	VERB	1
廷	廷	PART	nsubj	恩贈	恩贈	VERB	1
恩贈	恩贈	VERB	acl:relcl	詔書	詔書	NOUN	1
其	其	PRON	nmod	父母	父母	NOUN	1
父母	父母	NOUN	obj	恩贈	恩贈	VERB	1
的	的	PART	mark:relcl	恩贈	恩贈	VERB	1
誥命	誥命	NOUN	nmod	詔書	詔書	NOUN	1
詔書	詔書	NOUN	obj	存有	存有	VERB	1
.	.	PUNCT	punct	存有	存有	VERB	1
在	在	ADP	case	會談	會談	NOUN	1
會談	會談	NOUN	obl	攻擊	攻擊	VERB	1
中	中	ADP	acl	會談	會談	NOUN	1
希特勒	希特勒	PROPN	nsubj	攻擊	攻擊	VERB	1
提到	提到	VERB	acl:relcl	時候	時候	NOUN	1
蘇聯	蘇聯	PROPN	nmod	人	人	PART	1
人	人	PART	appos	斯大林	斯大林	PROPN	1
斯大林	斯大林	PROPN	obj	提到	提到	VERB	1
的	的	PART	mark:relcl	提到	提到	VERB	2
時候	時候	NOUN	obl	攻擊	攻擊	VERB	1
,	,	PUNCT	punct	攻擊	攻擊	VERB	7
言辭	言辭	NOUN	nsubj	激烈	激烈	ADJ	1
激烈	激烈	ADJ	advmod	攻擊	攻擊	VERB	1
地	地	PART	mark:advb	攻擊	攻擊	VERB	1
攻擊	攻擊	VERB	root	ROOT	ROOT	ROOT	4
到	到	VERB	mark	攻擊	攻擊	VERB	1
「	「	PUNCT	punct	憎恨	憎恨	VERB	1
我	我	PRON	nsubj	憎恨	憎恨	VERB	1
憎恨	憎恨	VERB	ccomp	攻擊	攻擊	VERB	1
他	他	PRON	obj	憎恨	憎恨	VERB	1
」	」	PUNCT	punct	憎恨	憎恨	VERB	1
.	.	PUNCT	punct	攻擊	攻擊	VERB	4
據	據	ADP	case	此	此	DET	1
此	此	DET	obl	改編	改編	VERB	1
改編	改編	VERB	acl:relcl	影視	影視	NOUN	1
戲曲	戲曲	NOUN	nmod	影視	影視	NOUN	1
影視	影視	NOUN	advmod	角色	角色	NOUN	1
中	中	ADP	acl	影視	影視	NOUN	1
,	,	PUNCT	punct	角色	角色	NOUN	1
程	程	PROPN	nmod	咬金	咬金	PROPN	2
咬金	咬金	PROPN	nsubj	角色	角色	NOUN	1
也是	也是	AUX	cop	角色	角色	NOUN	1
個	個	NOUN	clf	角色	角色	NOUN	1
而	而	CCONJ	cc	可愛	可愛	ADJ	1
可愛	可愛	ADJ	conj	重要	重要	ADJ	1
角色	角色	NOUN	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	角色	角色	NOUN	1
李	李	PROPN	nmod	密	密	PROPN	1
密	密	PROPN	nsubj	戰敗	戰敗	VERB	1
戰敗	戰敗	VERB	dep	甚厚	甚厚	ADJ	1
,	,	PUNCT	punct	甚厚	甚厚	ADJ	3
王	王	PROPN	nmod	世充	世充	PROPN	1
世充	世充	PROPN	nsubj	甚厚	甚厚	ADJ	1
俘獲	俘獲	VERB	acl	甚厚	甚厚	ADJ	1
程	程	PROPN	obj	俘獲	俘獲	VERB	1
知節	知節	PROPN	appos	程	程	PROPN	1
任命	任命	VERB	acl	甚厚	甚厚	ADJ	1
他	他	PRON	nsubj	將軍	將軍	NOUN	1
為	為	AUX	cop	將軍	將軍	NOUN	1
將軍	將軍	NOUN	ccomp	任命	任命	VERB	1
待	待	AUX	cop	甚厚	甚厚	ADJ	1
之	之	PRON	obj	甚厚	甚厚	ADJ	1
甚厚	甚厚	ADJ	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	甚厚	甚厚	ADJ	1
武德	武德	PROPN	nmod	日	日	NOUN	1
日	日	NOUN	nmod	變	變	NOUN	1
玄武	玄武	PROPN	case:suff	門	門	PART	1
門	門	PART	det	變	變	NOUN	1
之	之	PART	case:dec	門	門	PART	1
變	變	NOUN	root	ROOT	ROOT	ROOT	1
,	,	PUNCT	punct	變	變	NOUN	1
程	程	PROPN	nmod	知節	知節	PROPN	1
知節	知節	PROPN	nsubj	參與	參與	VERB	1
亦	亦	ADV	mark	參與	參與	VERB	2
參與	參與	VERB	dislocated	變	變	NOUN	1
.	.	PUNCT	punct	變	變	NOUN	1
咬金	咬金	PROPN	nsubj	立下	立下	VERB	1
等	等	NOUN	acl	咬金	咬金	PROPN	1
人	人	NOUN	appos	咬金	咬金	PROPN	1
最終	最終	NOUN	nmod:tmod	投奔	投奔	VERB	1
投奔	投奔	VERB	acl	立下	立下	VERB	1
李	李	PROPN	nmod	世民	世民	PROPN	1
世民	世民	PROPN	obj	投奔	投奔	VERB	1
,	,	PUNCT	punct	立下	立下	VERB	1
立下	立下	VERB	dep	封	封	VERB	1
不少	不少	ADJ	amod	功勞	功勞	NOUN	1
功勞	功勞	NOUN	obj	立下	立下	VERB	1
魯	魯	PROPN	nmod	國公	國公	NOUN	1
國公	國公	NOUN	obj	封	封	VERB	1
和	和	ADP	case	形像	形像	NOUN	1
過去	過去	NOUN	nmod:tmod	出現	出現	VERB	1
報紙	報紙	NOUN	nmod	新聞	新聞	NOUN	1
新聞	新聞	NOUN	advmod	出現	出現	VERB	1
紀錄	紀錄	NOUN	nmod	影片	影片	NOUN	1
中	中	ADP	acl	新聞	新聞	NOUN	1
出現	出現	VERB	acl:relcl	形像	形像	NOUN	1
游擊	游擊	NOUN	nmod	形像	形像	NOUN	1
隊員	隊員	NOUN	nmod	形像	形像	NOUN	1
形像	形像	NOUN	nmod	不同	不同	ADJ	1
不同	不同	ADJ	dep	具備	具備	VERB	1
,	,	PUNCT	punct	具備	具備	VERB	2
該片	該片	NOUN	det	人物	人物	NOUN	1
中	中	ADP	acl	該片	該片	NOUN	1
的	的	PART	case:dec	該片	該片	NOUN	1
人物	人物	NOUN	nsubj	具備	具備	VERB	1
具有	具有	VERB	acl	具備	具備	VERB	1
獨特	獨特	ADJ	advcl	鮮明	鮮明	ADJ	1
鮮明	鮮明	ADJ	amod	個性	個性	NOUN	1
的	的	PART	mark:relcl	鮮明	鮮明	ADJ	1
個性	個性	NOUN	obj	具有	具有	VERB	1
同樣	同樣	ADV	advmod	具備	具備	VERB	1
具備	具備	VERB	root	ROOT	ROOT	ROOT	1
人性	人性	NOUN	det	慾望	慾望	NOUN	1
的	的	PART	case:dec	人性	人性	NOUN	1
種種	種種	NOUN	nmod	慾望	慾望	NOUN	1
慾望	慾望	NOUN	obj	具備	具備	VERB	1
和	和	CCONJ	cc	情感	情感	NOUN	1
情感	情感	NOUN	conj	慾望	慾望	NOUN	1
.	.	PUNCT	punct	具備	具備	VERB	1
政府	政府	NOUN	nsubj	禁止	禁止	VERB	1
及	及	CCONJ	cc	導向	導向	NOUN	1
輿論	輿論	NOUN	nmod	導向	導向	NOUN	1
導向	導向	NOUN	conj	政府	政府	NOUN	1
都	都	ADV	mark	給予	給予	VERB	1
以	以	ADP	case	賦予	賦予	VERB	1
該片	該片	NOUN	nsubj	賦予	賦予	VERB	1
過	過	VERB	advcl	現實	現實	ADJ	1
「	「	PUNCT	punct	現實	現實	ADJ	1
現實	現實	ADJ	advmod	賦予	賦予	VERB	1
」	」	PUNCT	punct	現實	現實	ADJ	1
地	地	PART	mark:advb	賦予	賦予	VERB	1
賦予	賦予	VERB	ccomp	給予	給予	VERB	1
游擊	游擊	NOUN	nmod	隊員	隊員	NOUN	1
隊員	隊員	NOUN	iobj	賦予	賦予	VERB	1
「	「	PUNCT	punct	人性	人性	NOUN	1
人性	人性	NOUN	obj	賦予	賦予	VERB	1
」	」	PUNCT	punct	人性	人性	NOUN	1
給予	給予	VERB	acl	禁止	禁止	VERB	1
強烈	強烈	ADJ	amod	批判	批判	NOUN	1
批判	批判	NOUN	obj	給予	給予	VERB	1
並	並	ADV	mark	禁止	禁止	VERB	1
以	以	VERB	acl	禁止	禁止	VERB	1
違反	違反	VERB	csubj	名	名	NOUN	1
反共	反共	VERB	case:suff	法	法	PART	1
法	法	PART	obj	違反	違反	VERB	1
該片	該片	NOUN	nsubj	上映	上映	VERB	1
上映	上映	VERB	ccomp	禁止	禁止	VERB	1
會場	會場	NOUN	nmod	附近	附近	NOUN	1
和	和	CCONJ	cc	幹道	幹道	NOUN	1
主	主	PART	case:pref	幹道	幹道	NOUN	1
幹道	幹道	NOUN	conj	附近	附近	NOUN	1
上	上	NOUN	acl	幹道	幹道	NOUN	1
從	從	ADP	case	早	早	NOUN	1
早	早	NOUN	obl	到	到	VERB	1
到	到	VERB	acl:relcl	表演	表演	NOUN	1
晚	晚	NOUN	obj	到	到	VERB	1
娛樂	娛樂	NOUN	nmod	表演	表演	NOUN	1
表演	表演	NOUN	obj	有	有	VERB	3
和	和	CCONJ	cc	展覽	展覽	NOUN	1
工藝	工藝	NOUN	case:suff	品	品	PART	1
品	品	PART	nmod	展覽	展覽	NOUN	1
展覽	展覽	NOUN	conj	表演	表演	NOUN	1
谷氨酸	谷氨酸	NOUN	nsubj	一	一	NUM	1
(	(	PUNCT	punct	麩氨酸	麩氨酸	NOUN	1
麩氨酸	麩氨酸	NOUN	appos	谷氨酸	谷氨酸	NOUN	1
)	)	PUNCT	punct	麩氨酸	麩氨酸	NOUN	1
組成	組成	VERB	acl:relcl	氨基酸	氨基酸	NOUN	1
生物	生物	NOUN	nmod	蛋白質	蛋白質	NOUN	1
體內	體內	NOUN	nmod	蛋白質	蛋白質	NOUN	1
各種	各種	DET	det	蛋白質	蛋白質	NOUN	1
蛋白質	蛋白質	NOUN	obj	組成	組成	VERB	1
種	種	NOUN	clf	氨基酸	氨基酸	NOUN	1
氨基酸	氨基酸	NOUN	det	一	一	NUM	1
之	之	PART	case:dec	氨基酸	氨基酸	NOUN	1
車站	車站	NOUN	nsubj	公里	公里	NOUN	1
距離	距離	ADP	case	站	站	PART	1
四平	四平	PROPN	case:suff	站	站	PART	1
站	站	PART	nmod	公里	公里	NOUN	1
338	338	NUM	nummod	公里	公里	NOUN	1
公里	公里	NOUN	csubj	站	站	PART	1
隸屬	隸屬	VERB	acl	站	站	PART	1
